Codigos,Provincias,Latitud,Longitud,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
01,Araba/Álava,42.8351264353,-2.72060346921,321932,323648,324126,326574,328868,331549,333940,333626,334412,336308
02,Albacete,38.8254086192,-1.98037326935,396987,394580,392118,390032,388786,388167,388270,386464,385727,387529
03,Alicante/Alacant,38.4786378049,-0.568699068376,1868438,1855047,1836459,1825332,1838819,1858683,1879888,1881762,1901594,1955268
04,Almería,37.1960852121,-2.3448128003,701688,701211,704297,706672,709340,716820,727945,731792,740534,753364
05,Ávila,40.5710367492,-4.94553505619,167015,164925,162514,160700,158498,157640,157664,158421,158140,159764
06,Badajoz,38.7097707381,-6.14158521981,690929,686730,684113,679884,676376,673559,672137,669943,666971,666049
07,"Balears, Illes",39.5751889864,2.91229172079,1103442,1104479,1107220,1115999,1128908,1149460,1171543,1173008,1176659,1209906
08,Barcelona,41.7310008895,1.98405401772,5523784,5523922,5542680,5576037,5609350,5664579,5743402,5714730,5727615,5797356
09,Burgos,42.3687127267,-3.58574245567,366900,364002,360995,358171,357070,356958,357650,356055,355045,357370
10,Cáceres,39.7118899607,-6.16082194997,408703,406267,403665,400036,396487,394151,391850,389558,387805,388257
11,Cádiz,36.5538729195,-5.7604183752,1240175,1240284,1239889,1239435,1238714,1240155,1244049,1245960,1246781,1254866
12,Castellón/Castelló,40.2413705852,-0.146777086937,587508,582327,579245,575470,576898,579962,585590,587064,590616,604086
13,Ciudad Real,38.9256128254,-3.82809764894,519613,513713,506888,502578,499100,495761,495045,492591,490806,491927
14,Córdoba,37.9926944409,-4.80926161095,799402,795611,791610,788219,785240,782979,781451,776789,772464,775002
15,"Coruña, A",43.1257958229,-8.4642836868,1132735,1127196,1122799,1120294,1119351,1119596,1121815,1120134,1119180,1123884
16,Cuenca,39.8960496846,-2.19567153274,207449,203841,201071,198718,197222,196329,196139,195516,195215,198436
17,Girona,42.1280117119,2.6735559327,756156,753054,753576,755716,761947,771044,781788,786596,793478,808672
18,Granada,37.3125169672,-3.26788107732,919455,917297,915392,912938,912075,914678,919168,921338,921987,934072
19,Guadalajara,40.8134495654,-2.62368878371,255426,253686,252882,253310,254308,257762,261995,265588,268127,275082
20,Gipuzkoa,43.1437759117,-2.19417845709,715148,716834,717832,719282,720592,723576,727121,726033,724418,726712
21,Huelva,37.5771794021,-6.82930221031,519229,520017,519596,518930,519932,521870,524278,525835,528763,534084
22,Huesca,42.2030557371,-0.0728865943582,224909,222909,221079,219702,219345,220461,222687,224264,225456,226878
23,Jaén,38.0165122783,-3.44169215171,659033,654170,648250,643484,638099,633564,631381,627190,623761,620637
24,León,42.6199552439,-5.83988102629,484694,479395,473604,468316,463746,460001,456439,451706,448179,448573
25,Lleida,42.0439686698,1.04798206104,438001,436029,434041,432384,432866,434930,438517,439727,441443,447343
26,"Rioja, La",42.2748706958,-2.5170441194,319002,317053,315794,315381,315675,316798,319914,319796,319892,322282
27,Lugo,43.011764,-7.44638404764,342748,339386,336527,333634,331327,329587,327946,326013,323989,324267
28,Madrid,40.4950873744,-3.71704619215,6454440,6436996,6466996,6507184,6578079,6663394,6779888,6751251,6750336,6871903
29,Málaga,36.8138591651,-4.72586195603,1621968,1628973,1629298,1630615,1641121,1661785,1685920,1695651,1717504,1752728
30,Murcia,38.0023681653,-1.48575629332,1466818,1467288,1464847,1470273,1478509,1493898,1511251,1518486,1531878,1551692
31,Navarra,42.6672011509,-1.64611414443,640790,640476,640647,643234,647554,654214,661197,661537,664117,672155
32,Ourense,42.1964503002,-7.59259790937,322293,318391,314853,311680,309293,307651,306650,305223,304280,304563
33,Asturias,43.292357861,-5.99350932547,1061756,1051229,1042608,1034960,1028244,1022800,1018784,1011792,1004686,1006060
34,Palencia,42.3718338546,-4.53585717538,167609,166035,164644,163390,162035,160980,160321,159123,158008,157787
35,"Palmas, Las",28.3624928216,-14.5509933924,1100027,1098406,1097800,1100480,1109175,1120406,1131065,1128539,1129395,1145843
36,Pontevedra,42.435764706,-8.46106294738,950919,947374,944346,942731,941772,942665,945408,944275,943015,946710
37,Salamanca,40.8049892162,-6.06541224773,342459,339395,335985,333603,331473,330119,329245,327338,325898,327089
38,Santa Cruz de Tenerife,28.3125567678,-17.017856743,1004788,1001900,1004124,1007641,1018510,1032983,1044887,1044405,1048306,1067173
39,Cantabria,43.1975220484,-4.03002122038,588656,585179,582206,580295,580229,581078,582905,584507,585402,588387
40,Segovia,41.1710254065,-4.05415057783,159303,157570,155652,154184,153342,153129,153478,153663,153803,155332
41,Sevilla,37.4356699135,-5.68277303032,1941355,1941480,1939775,1939527,1939887,1942389,1950219,1947852,1948393,1959394
42,Soria,41.6207742504,-2.58874304739,92221,91006,90040,88903,88600,88636,88884,88747,88377,89528
43,Tarragona,41.0876143957,0.818127863314,800962,795101,792299,791693,795902,804664,816772,822309,830075,848592
44,Teruel,40.6612619615,-0.815532258446,140365,138932,136977,135562,134572,134137,134176,134545,134421,135046
45,Toledo,39.7937341614,-4.14815562595,699136,693371,688672,686841,687391,694844,703772,709403,713453,731112
46,Valencia/València,39.3702562375,-0.800789615081,2548898,2543315,2544264,2540707,2547986,2565124,2591875,2589312,2605757,2656841
47,Valladolid,41.6341260695,-4.84719141141,529157,526288,523679,521130,519851,519546,520649,519361,517975,521333
48,Bizkaia,43.2376797057,-2.85260007926,1151905,1148775,1147576,1148302,1149628,1152651,1159443,1154334,1149344,1153282
49,Zamora,41.7271743961,-5.98053925522,185432,183436,180406,177404,174549,172539,170588,168725,167215,166927
50,Zaragoza,41.6203648019,-1.06449678144,960111,956006,950507,953486,954811,964693,972528,967452,966438,979365
51,Ceuta,35.8934069863,-5.34342403891,84963,84263,84519,84959,85144,84777,84202,83517,83117,83052
52,Melilla,35.2908279949,-2.95053552337,84509,85584,86026,86120,86384,86487,87076,86261,85170,85493
00,TOTAL ESPAÑA,39.69511858365859,-3.2020228170909313,46771341,46624382,46557008,46572132,46722980,47026208,47450795,47385107,47475420,48085361
